wall_time_iso,index,utilization.gpu [%],utilization.memory [%],memory.used [MiB],power.draw [W],clocks.current.graphics [MHz],temperature.gpu
2026/05/19 18:01:50.636, 0, 45, 11, 3057, 154.91, 2670, 47
2026/05/19 18:01:50.639, 1, 100, 66, 15493, 410.40, 2655, 73
2026/05/19 18:01:50.868, 0, 42, 11, 3057, 155.60, 2670, 46
2026/05/19 18:01:50.871, 1, 100, 66, 15496, 416.26, 2655, 70
2026/05/19 18:01:51.099, 0, 42, 11, 3057, 155.60, 2670, 46
2026/05/19 18:01:51.102, 1, 100, 66, 15496, 416.26, 2655, 70
2026/05/19 18:01:51.329, 0, 42, 11, 3057, 155.60, 2670, 46
2026/05/19 18:01:51.332, 1, 11, 1, 15496, 323.80, 2670, 57
2026/05/19 18:01:51.561, 0, 42, 11, 3057, 153.43, 2670, 45
2026/05/19 18:01:51.564, 1, 11, 1, 15496, 323.80, 2670, 57
2026/05/19 18:01:51.792, 0, 42, 11, 3057, 153.43, 2670, 45
2026/05/19 18:01:51.795, 1, 11, 1, 15496, 168.62, 2670, 58
2026/05/19 18:01:52.026, 0, 39, 11, 3057, 151.72, 2670, 46
2026/05/19 18:01:52.029, 1, 11, 1, 15496, 168.62, 2670, 58
2026/05/19 18:01:52.260, 0, 39, 11, 3057, 151.72, 2670, 46
2026/05/19 18:01:52.263, 1, 100, 67, 15493, 215.04, 2655, 68
2026/05/19 18:01:52.493, 0, 39, 11, 3057, 151.50, 2670, 46
2026/05/19 18:01:52.496, 1, 100, 67, 15493, 215.04, 2655, 68
2026/05/19 18:01:52.726, 0, 39, 11, 3057, 151.50, 2670, 46
2026/05/19 18:01:52.729, 1, 100, 67, 15493, 405.18, 2655, 71
2026/05/19 18:01:52.960, 0, 41, 11, 3057, 153.30, 2670, 47
2026/05/19 18:01:52.964, 1, 100, 67, 15493, 405.18, 2655, 71
2026/05/19 18:01:53.194, 0, 41, 11, 3057, 153.30, 2670, 47
2026/05/19 18:01:53.197, 1, 100, 69, 15492, 413.03, 2655, 70
2026/05/19 18:01:53.428, 0, 41, 11, 3057, 152.16, 2670, 46
2026/05/19 18:01:53.430, 1, 100, 69, 15492, 413.03, 2655, 70
2026/05/19 18:01:53.661, 0, 41, 11, 3057, 152.16, 2670, 46
2026/05/19 18:01:53.664, 1, 100, 69, 15492, 419.45, 2640, 75
2026/05/19 18:01:53.893, 0, 37, 8, 3057, 153.80, 2670, 47
2026/05/19 18:01:53.896, 1, 100, 69, 15491, 419.45, 2640, 75
2026/05/19 18:01:54.128, 0, 37, 8, 3057, 153.80, 2670, 47
2026/05/19 18:01:54.131, 1, 100, 69, 15491, 419.45, 2640, 75
2026/05/19 18:01:54.362, 0, 37, 8, 3057, 154.57, 2670, 46
2026/05/19 18:01:54.365, 1, 97, 70, 15491, 419.63, 2655, 69
2026/05/19 18:01:54.597, 0, 37, 8, 3057, 154.57, 2670, 46
2026/05/19 18:01:54.600, 1, 97, 70, 15492, 419.63, 2655, 69
2026/05/19 18:01:54.829, 0, 37, 8, 3057, 154.57, 2670, 46
2026/05/19 18:01:54.832, 1, 97, 70, 15492, 422.34, 2640, 75
2026/05/19 18:01:55.061, 0, 42, 8, 3057, 151.64, 2670, 47
2026/05/19 18:01:55.064, 1, 97, 70, 15492, 422.34, 2640, 75
2026/05/19 18:01:55.292, 0, 42, 8, 3057, 151.64, 2670, 47
2026/05/19 18:01:55.295, 1, 100, 65, 15492, 419.35, 2475, 77
2026/05/19 18:01:55.523, 0, 42, 8, 3057, 153.05, 2670, 46
2026/05/19 18:01:55.527, 1, 100, 65, 15492, 419.35, 2475, 77
2026/05/19 18:01:55.755, 0, 42, 8, 3057, 153.05, 2670, 46
2026/05/19 18:01:55.758, 1, 100, 65, 15492, 298.07, 2670, 58
2026/05/19 18:01:55.987, 0, 38, 8, 3057, 150.99, 2670, 47
2026/05/19 18:01:55.991, 1, 100, 65, 15492, 298.07, 2670, 58
2026/05/19 18:01:56.219, 0, 38, 8, 3057, 150.99, 2670, 47
2026/05/19 18:01:56.222, 1, 5, 0, 15492, 133.90, 2670, 56
