timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:33:56.634, 28 %, 7 %, 132.90 W, 2659 MiB, 63
2026/05/10 16:33:56.842, 28 %, 6 %, 115.66 W, 2659 MiB, 63
2026/05/10 16:33:57.045, 26 %, 8 %, 120.89 W, 2665 MiB, 63
2026/05/10 16:33:57.247, 29 %, 6 %, 112.23 W, 2665 MiB, 59
2026/05/10 16:33:57.454, 27 %, 10 %, 111.18 W, 2665 MiB, 59
2026/05/10 16:33:57.657, 27 %, 8 %, 114.53 W, 2665 MiB, 61
2026/05/10 16:33:57.861, 26 %, 8 %, 111.84 W, 2665 MiB, 61
2026/05/10 16:33:58.063, 28 %, 7 %, 111.37 W, 2665 MiB, 61
2026/05/10 16:33:58.269, 29 %, 6 %, 110.90 W, 2671 MiB, 59
2026/05/10 16:33:58.471, 32 %, 8 %, 114.22 W, 2671 MiB, 59
2026/05/10 16:33:58.672, 28 %, 6 %, 110.41 W, 2671 MiB, 59
2026/05/10 16:33:58.873, 33 %, 11 %, 115.21 W, 2671 MiB, 59
2026/05/10 16:33:59.079, 28 %, 8 %, 107.11 W, 2671 MiB, 59
2026/05/10 16:33:59.280, 30 %, 8 %, 102.89 W, 2671 MiB, 59
2026/05/10 16:33:59.481, 30 %, 8 %, 107.37 W, 2677 MiB, 64
2026/05/10 16:33:59.688, 30 %, 6 %, 107.85 W, 2677 MiB, 64
2026/05/10 16:33:59.889, 32 %, 11 %, 103.23 W, 2677 MiB, 64
2026/05/10 16:34:00.090, 30 %, 7 %, 109.02 W, 2679 MiB, 64
2026/05/10 16:34:00.297, 29 %, 9 %, 112.01 W, 2681 MiB, 64
2026/05/10 16:34:00.504, 26 %, 8 %, 114.37 W, 2681 MiB, 64
2026/05/10 16:34:00.705, 26 %, 6 %, 112.69 W, 2684 MiB, 59
2026/05/10 16:34:00.923, 32 %, 9 %, 113.76 W, 2684 MiB, 59
2026/05/10 16:34:01.124, 28 %, 6 %, 115.47 W, 2684 MiB, 65
2026/05/10 16:34:01.325, 31 %, 7 %, 110.52 W, 2684 MiB, 65
2026/05/10 16:34:01.527, 31 %, 8 %, 108.69 W, 2688 MiB, 65
2026/05/10 16:34:01.729, 32 %, 10 %, 112.14 W, 2690 MiB, 57
2026/05/10 16:34:01.931, 25 %, 6 %, 110.64 W, 2690 MiB, 57
2026/05/10 16:34:02.132, 25 %, 8 %, 111.54 W, 2690 MiB, 57
2026/05/10 16:34:02.334, 33 %, 9 %, 109.75 W, 2690 MiB, 64
2026/05/10 16:34:02.535, 29 %, 6 %, 109.73 W, 2690 MiB, 64
2026/05/10 16:34:02.737, 32 %, 11 %, 111.82 W, 2692 MiB, 58
2026/05/10 16:34:02.955, 0 %, 0 %, 95.50 W, 2692 MiB, 58
2026/05/10 16:34:03.156, 26 %, 10 %, 96.03 W, 2696 MiB, 60
2026/05/10 16:34:03.358, 30 %, 9 %, 90.02 W, 2696 MiB, 60
2026/05/10 16:34:03.559, 27 %, 8 %, 92.91 W, 2696 MiB, 60
2026/05/10 16:34:03.761, 29 %, 6 %, 150.00 W, 2696 MiB, 61
2026/05/10 16:34:03.984, 31 %, 9 %, 123.67 W, 2698 MiB, 61
2026/05/10 16:34:04.186, 28 %, 6 %, 106.06 W, 2698 MiB, 59
2026/05/10 16:34:04.393, 30 %, 9 %, 151.16 W, 2700 MiB, 59
2026/05/10 16:34:04.595, 29 %, 9 %, 148.47 W, 2702 MiB, 59
2026/05/10 16:34:04.797, 26 %, 5 %, 81.47 W, 2704 MiB, 64
2026/05/10 16:34:04.998, 31 %, 9 %, 114.84 W, 2704 MiB, 64
2026/05/10 16:34:05.199, 31 %, 7 %, 144.87 W, 2704 MiB, 64
2026/05/10 16:34:05.401, 28 %, 10 %, 117.01 W, 2704 MiB, 59
2026/05/10 16:34:05.603, 28 %, 6 %, 112.81 W, 2708 MiB, 59
2026/05/10 16:34:05.813, 28 %, 9 %, 112.76 W, 2708 MiB, 62
2026/05/10 16:34:06.023, 32 %, 9 %, 108.89 W, 2708 MiB, 62
2026/05/10 16:34:06.224, 27 %, 7 %, 110.55 W, 2708 MiB, 62
2026/05/10 16:34:06.426, 28 %, 7 %, 114.66 W, 2712 MiB, 65
2026/05/10 16:34:06.634, 27 %, 6 %, 118.04 W, 2714 MiB, 65
